rank,player_id,player_name,position,season,total_snaps,success_rate,explosiveness,reliability,success_rate_scaled,explosiveness_scaled,reliability_scaled,CSS_Score,tier,cluster
34,00-0039337,Malik Nabers,WR,2024,177,0.4689265536723164,3.0432350398605195,0.5757575757575758,0.5149855312112444,0.7489756029537809,0.048717948717948725,0.4803151606978083,High-Floor,0
35,00-0040162,Dylan Sampson,RB,2025,105,0.3523809523809524,3.6931279862765223,2.6875,0.18240418118466906,1.0,0.22740384615384618,0.47981263401232915,High-Floor,2
36,00-0040242,Jacory Croskey-Merritt,RB,2025,189,0.42857142857142855,2.910567655781051,3.3,0.39982578397212554,0.6977321631227993,0.2792307692307692,0.47394426298952225,High-Floor,2
37,00-0040126,Colston Loveland,TE,2025,110,0.5454545454545454,2.307934644453538,0.6923076923076923,0.733370288248337,0.46496215208808445,0.058579881656804736,0.4707298389443656,High-Floor,0
38,00-0039875,Ray Davis,RB,2024,139,0.4316546762589928,2.90823726754752,2.4705882352941178,0.4086243200561501,0.6968320390263127,0.20904977375565612,0.45960338512058346,High-Floor,2
39,00-0040735,Luther Burden III,WR,2025,82,0.5365853658536586,2.297442913521081,0.6153846153846154,0.7080606781677574,0.4609096686047427,0.05207100591715977,0.4575604067580529,High-Floor,0
40,00-0040666,Omarion Hampton,RB,2025,160,0.425,2.628355421795277,4.2105263157894735,0.3896341463414634,0.588726277975065,0.3562753036437247,0.4509766817387893,High-Floor,2
41,00-0040730,RJ Harvey,RB,2025,236,0.3983050847457627,2.7325081238911175,4.964285714285714,0.3134559735427864,0.6289557794468463,0.42005494505494506,0.45053064848724705,High-Floor,2
42,00-0038794,Jaleel McLaughlin,RB,2023,112,0.45535714285714285,2.06386428050464,6.0,0.4762630662020906,0.37068875477703667,0.5076923076923077,0.447169367575876,High-Floor,2
43,00-0039146,Jayden Reed,WR,2023,115,0.48695652173913045,2.571648654048605,0.7058823529411765,0.5664369034994698,0.5668230056583711,0.05972850678733033,0.4398949400770504,High-Floor,0
44,00-0040584,Gunnar Helm,TE,2025,55,0.45454545454545453,2.8286454556218814,0.7142857142857143,0.4739467849223946,0.6660893040749158,0.06043956043956045,0.43781986050506855,High-Floor,0
45,00-0040122,Ashton Jeanty,RB,2025,340,0.32941176470588235,3.504236957145622,2.7083333333333335,0.11685796269727411,0.9270398964067654,0.22916666666666669,0.42849881548794416,High-Floor,2
46,00-0039032,Tyjae Spears,RB,2023,170,0.38823529411764707,2.6379489615584526,4.9375,0.2847202295552369,0.592431830632423,0.41778846153846155,0.42568634792805815,High-Floor,2
47,00-0040736,Mason Taylor,TE,2025,66,0.5757575757575758,1.6686307056224905,1.0,0.8198447893569847,0.21802781211817301,0.08461538461538462,0.4254014961380006,High-Floor,0
48,00-0040236,Kyle Monangai,RB,2025,229,0.44541484716157204,2.0594733039664184,4.5,0.4478911492171691,0.36899271815434387,0.3807692307692308,0.4034962187331957,High-Floor,1
49,00-0039919,Rome Odunze,WR,2024,104,0.4519230769230769,2.5875263636771706,0.5625,0.4664634146341464,0.5729558503183504,0.04759615384615385,0.3990189519266197,Developmental,0
50,00-0039391,Kimani Vidal,RB,2024,52,0.28846153846153844,3.6633152468129992,1.8571428571428572,0.0,0.9884846804548384,0.15714285714285717,0.3852553524449077,Developmental,2
51,00-0039325,Carson Steele,RB,2024,67,0.417910447761194,2.5875263636771706,1.6666666666666667,0.369402985074627,0.5729558503183504,0.14102564102564105,0.38355215189768366,Developmental,1
52,00-0038544,Quentin Johnston,WR,2023,70,0.45714285714285713,2.469008054421283,0.25,0.48135888501742174,0.5271775613186532,0.021153846153846155,0.38234416200695887,Developmental,0
53,00-0040129,Emeka Egbuka,WR,2025,131,0.4198473282442748,2.7499831272201845,0.42857142857142855,0.374930180599516,0.635705586777809,0.03626373626373627,0.3815349616779736,Developmental,1
54,00-0039384,Tyrone Tracy Jr.,RB,2024,246,0.35365853658536583,2.7471623265300877,3.736842105263158,0.18604997025580006,0.634616038420154,0.3161943319838057,0.37558418454532533,Developmental,2
55,00-0038542,Bijan Robinson,RB,2023,300,0.37333333333333335,2.459619565483687,4.285714285714286,0.2421951219512195,0.5235512105669917,0.3626373626373626,0.37078031313827553,Developmental,2
56,00-0039849,Marvin Harrison Jr.,WR,2024,116,0.5,1.9291130780558368,0.6,0.603658536585366,0.3186404296913361,0.05076923076923077,0.3656798727184217,Developmental,1
57,00-0039738,Blake Corum,RB,2024,66,0.3939393939393939,2.5875263636771706,2.0,0.3009977827050998,0.5729558503183504,0.16923076923076924,0.36324135300115484,Developmental,1
58,00-0039139,Jahmyr Gibbs,RB,2023,297,0.39730639730639733,2.0075047806188064,5.411764705882353,0.3106060606060608,0.34891961640634284,0.45791855203619913,0.36084392799369414,Developmental,2
59,00-0040784,Quinshon Judkins,RB,2025,267,0.3258426966292135,2.8437233347212896,3.357142857142857,0.10667306111263364,0.6719132101975129,0.2840659340659341,0.3488553315306665,Developmental,2
60,00-0038551,Kendre Miller,RB,2023,52,0.4423076923076923,2.3446812249021605,0.0,0.4390243902439024,0.47915570235124005,0.0,0.343314251920495,Developmental,1
61,00-0040128,Tyler Warren,TE,2025,120,0.48333333333333334,1.8736434486287181,0.625,0.5560975609756098,0.2972150082306042,0.05288461538461539,0.33968543111710925,Developmental,1
62,00-0040705,Chimere Dike,WR,2025,85,0.38823529411764707,2.6609063795573697,0.7142857142857143,0.2847202295552369,0.6012992480166199,0.06043956043956045,0.33945271873780186,Developmental,1
63,00-0039921,Trey Benson,RB,2024,69,0.391304347826087,1.3353196972748265,9.0,0.2934782608695654,0.08928477011294067,0.7615384615384616,0.3390255892719708,Developmental,2
64,00-0039165,Zach Charbonnet,RB,2023,148,0.41216216216216217,1.790892391302623,4.9411764705882355,0.3529993408042189,0.2652519989615,0.41809954751131223,0.3385628228360406,Developmental,1
65,00-0040583,Woody Marks,RB,2025,269,0.3680297397769517,2.3176775022244933,3.7083333333333335,0.22706047692447195,0.4687253795718547,0.31378205128205133,0.33332358644045074,Developmental,1
66,00-0038621,Demario Douglas,WR,2023,87,0.42528735632183906,2.3395233179908246,0.46153846153846156,0.3904541631623213,0.47716343504078707,0.039053254437869826,0.3329521811386714,Developmental,1
67,00-0040719,Bhayshul Tuten,RB,2025,102,0.49019607843137253,1.457185807346832,2.3333333333333335,0.5756814921090387,0.13635616390155936,0.19743589743589746,0.3273562285681356,Developmental,1
68,00-0040078,Brashard Smith,RB,2025,79,0.35443037974683544,2.5875263636771706,2.3333333333333335,0.188252547082433,0.5729558503183504,0.19743589743589746,0.3251945408033702,Developmental,1
69,00-0040663,Harold Fannin Jr.,TE,2025,115,0.40869565217391307,2.290740381082287,0.6,0.34310710498409347,0.4583207819682442,0.05076923076923077,0.31034742337483057,Developmental,1
70,00-0038555,Tank Bigsby,RB,2023,54,0.3333333333333333,2.5875263636771706,2.75,0.12804878048780488,0.5729558503183504,0.2326923076923077,0.3099271367296215,Developmental,1
71,00-0040170,Elic Ayomanor,WR,2025,89,0.4044943820224719,2.3350309680754435,0.5,0.33111811455193196,0.4754282424447632,0.04230769230769231,0.309424053753363,Developmental,1
72,00-0040715,Cam Skattebo,RB,2025,134,0.43283582089552236,1.7269364236854017,2.642857142857143,0.4119949035311248,0.24054868698195464,0.22362637362637364,0.30489659526272744,Developmental,1
73,00-0040198,Ollie Gordon II,RB,2025,79,0.3670886075949367,2.2311027047107928,2.875,0.22437480703920976,0.4352854315540714,0.2432692307692308,0.3029171315519166,Developmental,1
74,00-0039373,Audric Estimé,RB,2024,81,0.3950617283950617,1.8929361008631531,2.6923076923076925,0.3042005420054201,0.3046668915311985,0.227810650887574,0.285266291559981,Developmental,1
75,00-0039890,Adonai Mitchell,WR,2024,59,0.3728813559322034,2.4583397172464174,0.14285714285714285,0.24090533278214155,0.5230568627919574,0.012087912087912088,0.28245401311201973,Developmental,1
76,00-0039342,Xavier Legette,WR,2024,91,0.4065934065934066,2.0733614903458926,0.35714285714285715,0.3371080139372822,0.37435709952084273,0.030219780219780223,0.2734231354621529,Developmental,1
77,00-0040202,Devin Neal,RB,2025,76,0.35526315789473684,2.0542910514050163,1.5,0.1906290115532734,0.3669910472149359,0.12692307692307692,0.23642924037730617,Developmental,1
78,00-0039052,Trey Palmer,WR,2023,77,0.4025974025974026,1.6877781523216981,0.8333333333333334,0.32570478302185624,0.22542360905542203,0.07051282051282053,0.2268083815063453,Developmental,1
79,00-0038705,Emari Demercado,RB,2023,88,0.3181818181818182,1.8170284580846783,4.25,0.08481152993348118,0.2753471853168933,0.3596153846153846,0.22019997298815125,Developmental,1
80,00-0039021,Roschon Johnson,RB,2023,121,0.36363636363636365,1.7185352751985192,2.1666666666666665,0.2145232815964524,0.23730370141156887,0.18333333333333332,0.2146989414659634,Developmental,1
81,00-0039868,Troy Franklin,WR,2024,58,0.3448275862068966,2.1205665268789744,0.3333333333333333,0.16084945332211953,0.39259028069107893,0.028205128205128206,0.2087976616220075,Developmental,1
82,00-0039062,Jonathan Mingo,WR,2023,85,0.32941176470588235,2.1651813815309047,0.6,0.11685796269727411,0.4098229911706549,0.05076923076923077,0.20287353968094654,Developmental,1
83,00-0038597,Chase Brown,RB,2023,59,0.3050847457627119,2.430352784693241,0.0,0.047436957420421755,0.512246770286603,0.0,0.19826115256847976,Developmental,1
84,00-0039874,Jaylen Wright,RB,2024,74,0.33783783783783783,1.1041647059610114,4.090909090909091,0.14090309822017144,0.0,0.34615384615384615,0.1428997008265301,Developmental,1
